"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00417588","RICHARDSON, TX US","2020-07-06","0.05","88","74"
"USC00417588","RICHARDSON, TX US","2020-07-07","0.00","89","73"
"USC00417588","RICHARDSON, TX US","2020-07-08","0.00","92","75"
"USC00417588","RICHARDSON, TX US","2020-07-09","0.00","93","77"
"USC00417588","RICHARDSON, TX US","2020-07-10","0.00","94","77"
"USC00417588","RICHARDSON, TX US","2020-07-11","0.00","96","79"
"USC00417588","RICHARDSON, TX US","2020-07-12","0.00","100","76"
"USC00417588","RICHARDSON, TX US","2020-07-13","0.00","100","82"
"USC00417588","RICHARDSON, TX US","2020-07-14","0.00","98","80"
"USC00417588","RICHARDSON, TX US","2020-07-15","0.00","95","78"
"USC00417588","RICHARDSON, TX US","2020-07-16","0.00","96","80"
"USC00417588","RICHARDSON, TX US","2020-07-17","0.00","96","78"
"USC00417588","RICHARDSON, TX US","2020-07-18","0.00","91","76"
"USC00417588","RICHARDSON, TX US","2020-07-19","0.00","94","76"
"USC00417588","RICHARDSON, TX US","2020-07-20","0.00","95","77"
"USC00417588","RICHARDSON, TX US","2020-07-21","0.00","91","75"
"USC00417588","RICHARDSON, TX US","2020-07-22","0.00","93","75"
"USC00417588","RICHARDSON, TX US","2020-07-23","0.00","96","75"
"USC00417588","RICHARDSON, TX US","2020-07-24","0.00","94","77"
"USC00417588","RICHARDSON, TX US","2020-07-25","0.00","91","76"
"USC00417588","RICHARDSON, TX US","2020-07-26","0.00","93","76"
"USC00417588","RICHARDSON, TX US","2020-07-27","0.00","93","74"
"USC00417588","RICHARDSON, TX US","2020-07-28","0.04","83","75"
"USC00417588","RICHARDSON, TX US","2020-07-29","0.00","94","76"
"USC00417588","RICHARDSON, TX US","2020-07-30","0.20","97","72"
"USC00417588","RICHARDSON, TX US","2020-07-31","0.00","90","71"
"USC00417588","RICHARDSON, TX US","2020-08-01","0.00","90","70"
"USC00417588","RICHARDSON, TX US","2020-08-02","0.00","94","73"
"USC00417588","RICHARDSON, TX US","2020-08-03","0.00","93","71"
"USC00417588","RICHARDSON, TX US","2020-08-04","0.00","92","72"
"USC00417588","RICHARDSON, TX US","2020-08-05","0.00","88","73"
"USC00417588","RICHARDSON, TX US","2020-08-06","0.00","96","74"
"USC00417588","RICHARDSON, TX US","2020-08-07","0.00","96","77"
"USC00417588","RICHARDSON, TX US","2020-08-08","0.00","97","77"
"USC00417588","RICHARDSON, TX US","2020-08-09","0.00","97","77"
"USC00417588","RICHARDSON, TX US","2020-08-10","0.00","98","79"
"USC00417588","RICHARDSON, TX US","2020-08-11","0.00","98","79"
"USC00417588","RICHARDSON, TX US","2020-08-12","0.00","101","82"
"USC00417588","RICHARDSON, TX US","2020-08-13","0.00","101","83"
"USC00417588","RICHARDSON, TX US","2020-08-14","0.00","102","82"
"USC00417588","RICHARDSON, TX US","2020-08-15","0.00","102","79"
"USC00417588","RICHARDSON, TX US","2020-08-16","1.40","103","70"
"USC00417588","RICHARDSON, TX US","2020-08-17","0.00","93","72"
"USC00417588","RICHARDSON, TX US","2020-08-18","0.00","93","74"
"USC00417588","RICHARDSON, TX US","2020-08-19","0.00","91","68"
"USC00417588","RICHARDSON, TX US","2020-08-20","0.00","92","67"
"USC00417588","RICHARDSON, TX US","2020-08-21","0.00","93","70"
"USC00417588","RICHARDSON, TX US","2020-08-22","0.00","94","72"
"USC00417588","RICHARDSON, TX US","2020-08-23","0.00","96","72"
"USC00417588","RICHARDSON, TX US","2020-08-24","0.00","95","70"
"USC00417588","RICHARDSON, TX US","2020-08-25","0.00","96","72"
"USC00417588","RICHARDSON, TX US","2020-08-26","0.10","91","72"
"USC00417588","RICHARDSON, TX US","2020-08-27","0.00","93","72"
"USC00417588","RICHARDSON, TX US","2020-08-28","0.00","103","75"
"USC00417588","RICHARDSON, TX US","2020-08-29","0.00","104","77"
"USC00417588","RICHARDSON, TX US","2020-08-30","2.63","94","71"
"USC00417588","RICHARDSON, TX US","2020-08-31","0.01","97","80"
"USC00417588","RICHARDSON, TX US","2020-09-01","0.00","88","70"
"USC00417588","RICHARDSON, TX US","2020-09-02","0.01","79","71"
"USC00417588","RICHARDSON, TX US","2020-09-03","0.01","82","72"
"USC00417588","RICHARDSON, TX US","2020-09-04","0.00","87","72"
"USC00417588","RICHARDSON, TX US","2020-09-05","0.39","91","73"
"USC00417588","RICHARDSON, TX US","2020-09-06","0.00","89","71"
"USC00417588","RICHARDSON, TX US","2020-09-07","0.00","91","74"
"USC00417588","RICHARDSON, TX US","2020-09-08","0.00","88","74"
"USC00417588","RICHARDSON, TX US","2020-09-09","3.53","83","64"
"USC00417588","RICHARDSON, TX US","2020-09-10","1.08","68","56"
"USC00417588","RICHARDSON, TX US","2020-09-11","0.00","78","62"
"USC00417588","RICHARDSON, TX US","2020-09-12","0.00","86","66"
"USC00417588","RICHARDSON, TX US","2020-09-13","0.00","86","69"
"USC00417588","RICHARDSON, TX US","2020-09-14","0.00","87","67"
"USC00417588","RICHARDSON, TX US","2020-09-15","0.00","87","72"
"USC00417588","RICHARDSON, TX US","2020-09-16","0.00","87","70"
"USC00417588","RICHARDSON, TX US","2020-09-17","0.00","87","73"
"USC00417588","RICHARDSON, TX US","2020-09-18","0.00","84","67"
"USC00417588","RICHARDSON, TX US","2020-09-19","0.00","78","62"
